Company,Company Code,Company Type,FCC SITE ID,Lattitude,Longitude,Property Address,County,City,Land Owned or Leased,Lessor/Site Owner,Map,Group,Parcel,Height,Type
"AT & T Mobility, LLC",WC000025,WC,99,36.0670,-83.1838,Hwy 160 1913,Cocke,Outside,Leased,"Holt, David J",019,,030.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.0044,-83.1116,Hwy 321 1671,Cocke,Outside,Leased,"Sparks, Billy H",040,,075.00,225,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.9844,-84.8226,Hebbertsburg Road 6624 ,Cumberland,Outside,Leased,"Thompson, James R. etux  Helen J.",091,,004.13,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.9565,-85.1114,L R Neal Road 268,Cumberland,Outside,Leased,"VanWinkle, Tex",098,,050.01,120,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.8989,-85.0791,Lantana Road 4690,Cumberland,Outside,Leased,"Williams, Billie M.",137,,041.00,180,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.0166,-84.9334,Peavine Firetower Road 3208,Cumberland,Outside,Leased,"Owens, William N.",064,,001.27,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.8695,-85.0143,Taylor Road 496,Cumberland,Outside,Leased,"Subcarrier Communications, Inc.",150,,008.07,250,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.1547,-86.8244,33rd Avenue North 609 ,Davidson,Nashville,Leased,"Crown Castle USA, LLC",092-09,0,294.00,100,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.1353,-86.8006,Acklen Ave 2007B,Davidson,Nashville,Leased,Belmont Methodist Church,104-12,0,076.00,075,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.0489,-86.7220,Amalie Drive 5646 ,Davidson,Nashville,Leased,Countrywood Investment Group,161-00,0,134.00,125,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.2390,-86.8139,Flint Ridge Drive 822,Davidson,Nashville,Leased,Vanderbilt University,049-00,0,154.00,120,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.0955,-86.8274,Hillsboro Pike 5043C(Fairway),Davidson,Outside,Leased,Saint Phillips Episcopal,084-15,0,151.00,100,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.2519,-86.6853,Larkins Springs Road 607,Davidson,Outside,Leased,Ky-Tn Conference of Seventh Day Adventist,052-07,0,124.00,099,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.6675,-88.1211,Tennessee Avenue 1300,Decatur ,Outside,Leased,"Gooch, Harue L.",048,,001.00,280,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.0877,-87.4681,Hwy. 70 4055,Dickson,Outside,Leased,"Noller, Gary A",105,,020.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.0457,-89.3682,Harrell Ave 1165A,Dyer,Dyersburg,Leased,City of Dyersburg,088L,A,003.00,,other
"AT & T Mobility, LLC",WC000025,WC,99,35.1526,-89.4765,Hwy 193 9670,Fayette,Outside,Leased,"Culver, John Wayne",127,,018.00,300,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.1667,-86.0127,Hodges Street 301,Franklin,Cowan,Leased,City of Cowan,077M,A,002.00,280,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.3600,-83.3367,U S Hwy 25 123 (Lookout Mountain Road 176),Giles ,Outside,Leased,"Scarce, William & Shirley",021,,074.00,190,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.3461,-83.4220,Frank Atkins Road  1 (U S Hwy 25),Grainger,Outside,Leased,"Wohlwend, James H. & Janet",023,,020.00,180,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.3502,-83.3984,U S Hwy 25 190 (Miller Hollow Road 224),Grainger,Outside,Leased,Kingswood School & Homes,032,,042.00,150,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.3682,-83.4411,U S Hwy 25 8621,Grainger,Outside,Leased,"Luckes, Jeffery A. & Laura",012,,022.00,270,guyed
"AT & T Mobility, LLC",WC000025,WC,99,36.3181,-82.8333,Baileytown Road North 11815,Greene,Outside,Leased,"Keller, Clair D.",026,,062.00,190,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.2630,-82.8127,Old Baileytown Road  1428,Greene,Outside,Leased,"Barger, Bobbie K. & Cleophia",044,,089.00,300,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.3762,-85.5771,32820 SR 108 (32806),Grundy,Gruetli-Laager,Leased,"Magouirk, Melissa & Jeff",060,,002.16,290,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.2477,-85.8079,1256 Dubose St,Grundy,Monteagle,Leased,"Dodson, Stella",106,,003.06,290,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.0184,-85.2560,Navajo Drive 3220 ,Hamilton,Chattanooga,Leased,Unitarian Universlist Church,156E,L,005.00,060,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.2132,-85.1848,Middle Valley Road 8513,Hamilton,Saudy Daisey,Leased,Hixson Utility District,074G,B,004.00,180,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.1575,-88.9113,Crisp Road 425,Hardeman,Outside,Leased,"Grantham, P. T. & Vonda",118,,007.01,390,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.2313,-88.8015,Hwy 64 24810 (Hornsby-Deberry Lane),Hardeman,Outside,Leased,"B & B Land (Doris, David ETUX)",094,,001.01,400,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.1377,-89.0025,Lake Hardeman Road 7935,Hardeman,Outside,Leased,"Wells, Vera Ann",130,,001.00,400,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.2473,-88.9646,Old Hwy 125 155,Hardeman,Outside,Leased,"Pulse, Cassie Brenda",079,,025.00,250,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.5820,-89.4496,State Hwy 54W 10665,Haywood,Outside,Leased,"Harwood, Burton Jr, ETAL",079,,007.00,290,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.6330,-88.2623,Old Darden Chesterfield Road 290,Henderson,Outside,Leased,"Wood, Ricky L",089,,058.00,225,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.1246,-87.6408,Erin Road 1309,Humphreys,Outside,Leased,"Hooper, Joseph V ",042,,036.00,190,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.4857,-81.8455,Hwy 421 2705,Johnson,Outside,Leased,"Hayworth, Offie Jr. & Betty",040,,096.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.4650,-81.7878,Stout Road 899,Johnson,Outside,Leased,"Cunningham, Karen",048,,163.00,190,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.9335,-83.9466,Alcoa Hwy 2000 ,Knox,Knoxville,Leased,"Cardwell Jr., Paul H.",122,,004.00,180,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.1464,-83.7762,Corryton Road 7333,Knox,Knoxville,Leased,"Zavels, Mose",014,,100.00,250,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.0336,-83.8651,Loves Creek Road 2320 A. ,Knox,Knoxville,Leased,Knoxville Utilities Board,060,,013.00,100,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.9538,-83.9315,Melrose Ave 1720,Knox,Knoxville,Leased,University of Tennessee,108C,F,004.00,,not given
"AT & T Mobility, LLC",WC000025,WC,99,35.8879,-84.1034,747C Hidden Glen,Knox,Outside,Leased,"Butturini, Jack",144,,008.01,,
"AT & T Mobility, LLC",WC000025,WC,99,36.0451,-84.0430,Brickyard Road 8306,Knox,Outside,Leased,"Randles, C Jr.",056,,080.01,160,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.0658,-83.8779,Luttrell Road 5315,Knox,Outside,Leased,"Stormer, Chris",039,,260.01,180,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.2033,-87.3275,Dunn Falls River Road 98 (Locust 1208 N.),Lawrence,Lawrenceburg,Leased,"Wright, Roger",078E,D,012.00,,not given
"AT & T Mobility, LLC",WC000025,WC,99,35.0603,-87.4700,Peggy Ave 123,Lawrence,Loretto,Leased,"Moore, Peggy R & Charles",157,,030.00,390,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.7416,-84.4368,Hwy 72 29175,Loudon,Outside,Leased,"Gaylon, Ben etux Julia",039,,001.00,100,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.7276,-88.7589,Christmasville Road 3232,Madison,Outside,Leased,"Meachman, Drew",025,,195.00,190,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.6020,-86.7050,Caney Springs Road 2241,Marshall,Outside,Leased,"Gilbert, Donna M.",026,,126.00,185,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.3977,-86.6896,Fayetteville Hwy 2770  (Polly Adams Road) ,Marshall,Outside,Leased,"Isley, David & Lisa",088,,028.00,280,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.6186,-87.0431,Reservoir Hill Road 504 ,Maury,Columbia,Leased,"Global Signal Acquisitions IV, LLC",089M,A,004.01,290,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.5865,-87.0996,Trotwood Ave 6003,Maury,Columbia,Leased,USA TVA,112,,021.00,170,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.0725,-88.7324,Dan Head Road 224,McNairy,Outside,Leased,"Barclay, Mary L",126,,018.01,400,guyed
"AT & T Mobility, LLC",WC000025,WC,99,36.5120,-87.2997,Madison Street 1920,Montgomery,Clarksville,Leased,Clarksville Montgomery County Schools,080B,C,026.00,158,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.5823,-87.3770,Pine Mountain Road East 290-E,Montgomery,Clarksville,Leased,Advanced Dev. & Const.,031,,037.00,130,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.5370,-87.3572,Robb Ave 625,Montgomery,Clarksville,Leased,Austin Peay University,055O,D,025.00,210,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.5545,-87.4466,Dover Road 1017 (Liberty Church Road North 1019),Montgomery,Outside,Leased,"Parr, Larry G",053,,034.01,140,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.4178,-87.5480,Killebrew Lane 3960,Montgomery,Outside,Leased,"Houseworth, Donald I. & Olivia",119,,031.03,300,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.4675,-87.3882,Old Hwy 48 250 (Hwy 149 3558),Montgomery,Outside,Leased,"Hall, Elliot W, ETUX",100,,055.01,150,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.4321,-87.4970,Palmyra Road 2850,Montgomery,Outside,Leased,"Cunnigham, Donald",115,,025.00,270,h type
"AT & T Mobility, LLC",WC000025,WC,99,35.3707,-86.3051,Highland Hall Road 50,Moore,Outside,Leased,Moore County,007,,007.01,150,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.2239,-84.6733,Cumberland Mountain Lane 212,Morgan,Outside,Leased,"Jones, Byrl J.",042E,A,009.00,251,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.1893,-84.6558,Lewis Landrum Road 155,Morgan,Outside,Leased,"McGhee, Karen Gail",054,,045.03,194,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.1637,-84.6588,Morgan County Hwy 5969,Morgan,Outside,Leased,Morgan County Fairground Assoc.,075,,002.00,240,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.2767,-84.6541,Morgan County Hwy 9026,Morgan,Outside,Leased,"Shannon, Dennis",019,,034.07,278,guyed
"AT & T Mobility, LLC",WC000025,WC,99,36.2021,-85.4625,Lacy Drive 2691  ,Putnam,Outside,Leased,"Gaw, Eddie & Andy Thompson",026,,090.05,120,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.2022,-85.5161,Phillips Road 1300,Putnam,Outside,Leased,"Crabtree, Oswald",027,,121.00,153,monopole
"AT & T Mobility, LLC",WC000025,WC,1258998,35.56093,-84.18389,Bethel Valley Road 1,Roane,Oak Ridge,Leased,Department of Energy,110,,001.00,251,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.3859,-84.3486,Adkins Road 300 (Morning Star Road 343),Rutherford,Outside,Leased,"Lay, Edward R.",098,,013.00,251,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.8448,-86.4971,Franklin Road 5900,Rutherford,Outside,Leased,"Owen, William H. Jr.",093,,071.00,132,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.4812,-84.5361,Alberta Ave. 16868 (Hwy 27),Scott,Oneida,Leased,"Miller & Sons, Inc.",061,,144.02,251,guyed
"AT & T Mobility, LLC",WC000025,WC,99,36.5112,-84.5290,Grave Hill Road 921 (Eli Lane) ,Scott,Oneida,Leased,Town Of Oneida,051,,070.04,160,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.3850,-84.4058,Fairview Road 130,Scott,Outside,Leased,"Byrd, Roy Lee",097,,065.03,267,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.5320,-84.5031,Grape Rough Road 1128,Scott,Outside,Leased,"Hutcherson, James",041,,001.96,194,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.3114,-84.6190,Halfway Lane 518,Scott,Outside,Leased,"Brooks, Thomas D.",128,,001.01,195,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.3487,-84.5853,Hillside Drive 196,Scott,Outside,Leased,"Walker, Jimmy",111,,199.01,195,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.4157,-84.4863,Huntsville Hill Road 894,Scott,Outside,Leased,"Sharp, Roger A.",086,,048.00,250,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.3956,-84.5341,Old Jamestown Road 1694,Scott,Outside,Leased,"Posey, Gina",094,,081.00,250,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.4002,-84.4432,Railey Lane 420,Scott,Outside,Leased,"Yaden, Gene",096,,015.00,190,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.4359,-84.5369,Scott Hwy 13178,Scott,Outside,Leased,"Reed, Sue",077,,134.02,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.3765,-84.5746,Scott Hwy 7379,Scott,Outside,Leased,"Culver, Eddie (Executive -Shoemaker, Della)",102,,080.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.5470,-84.4434,Ped Road 385,Scott,Winfield,Leased,"Flynn, Mark",031,,042.03,190,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.1125,-89.8106,Miller Farms Road 1340,Shelby,Germantown,Leased,MLG & W ( City of Germantown),G02,20,00431,115,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.1619,-89.8614,6058  Executive Centre Dr (Big Mac Drive 6058),Shelby,Memphis,OWNED,AT&T Mobility,089,014,00124,200,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.3425,-89.8953,Church Street 7938,Shelby,Memphis,Leased,City of Millington,M01,15,00424L,,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.2208,-89.9583,Frayser-Raliegh Rd 3209,Shelby,Memphis,Leased,Memphis Light Gas & water,084,007,00003,123,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.1049,-89.9269,Getwell Road 900,Shelby,Memphis,Leased,Mid South Public Comm. ,058,122,00086L,,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.0053,-90.0219,Holmes Road 1247 East,Shelby,Memphis,Leased,MLGW - City of Memphis,079,116,00002L,150,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.1372,-89.9988,McLean Street South 6,Shelby,Memphis,Leased,Gilmore Associates,017,053,00001L,,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.1310,-89.8980,Mendenhall Road 4 North,Shelby,Memphis,Leased,Mullins Methodist Church,064,016,00030L,,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.0822,-89.8850,Mt Moriah Road 2524,Shelby,Memphis,Leased,"Perimeter Place, L P",074,090,E00004L,,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.1078,-89.8906,Park Avenue 5118,Shelby,Memphis,Leased,Union Realty Company,067,001,00061L,,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.1283,-89.9456,Poplar Avenue 3470,Shelby,Memphis,Leased,Finard Poplar Realty L.P.,044,052,00001C,,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.1229,-89.9263,Poplar Avenue 4049,Shelby,Memphis,Leased,Second Presbyterian Church,044,113,00043,,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.1019,-89.8433,Poplar Avenue 6580,Shelby,Memphis,Leased,Memphis Jewish Housing,008,038,00238L,104,not given
"AT & T Mobility, LLC",WC000025,WC,99,35.1522,-90.0479,Second Street North 300,Shelby,Memphis,Leased,"Driftwood Hospitality Mgt, LLC",001,34,00003,,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.1141,-89.8699,Shady Grove Road 5761,Shelby,Memphis,Leased,MLGW - City of Memphis ,056,055,00024L,130,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.0575,-90.0571,Third Street South 3368 (Hwy  61),Shelby,Memphis,Leased,Belz Investment Corp. LP,050,124,00023L,175,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.1364,-89.9736,Union Avenue Extention 2670,Shelby,Memphis,Leased,Junior Realty,028,047,00012C,350,rooftop
"AT & T Mobility, LLC",WC000025,WC,99,35.1328,-89.8664,Walnut Grove Road 5882,Shelby,Memphis,Leased,Christian Brothers (La Salle),080,001,00013L,150,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.1614,-89.7967,Autumn Creek Dr 8004 ,Shelby,Outside,Leased,"SUSA-TN, LLC",096,900,00367L,090,lattice
"AT & T Mobility, LLC",WC000025,WC,99,35.1817,-89.7351,Lenow Road 2084,Shelby,Outside,Leased,Tan-Houston Levee,D02,09,00468L,190,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.3183,-89.6998,Osborntown Road 7033,Shelby,Outside,Leased,"Achelpohl, Robianne & Janet",D01,30,00184L,190,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.2984,-89.8270,Pleasant Ridge Road 7075 ,Shelby,Outside,Leased,Sneed Brothers,D01,38,00013L,190,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.6139,-87.9778,Firetower Road 212(The Trace-CAAS),Stewart,Outside,Leased,Federal Property (Land Between the Lakes),091,,001.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.4399,-86.3656,Sideview Road 142 ,Sumner,Outside,Leased,"Shiloh Development, LLC",090J,A,015.01,195,guyed
"AT & T Mobility, LLC",WC000025,WC,99,36.4262,-86.6524,Tyree Springs Road 3388,Sumner,Outside,Leased,"Parsons, T C. & Sheelah",100,,015.04,250,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.4672,-86.6525,Carmack Drive 161,Sumner,White House,Leased,City of White House (Housing),077,,073.00,150,monopole
"AT & T Mobility, LLC",WC000025,WC,99,36.3213,-83.7375,Hickory Valley Road 300,Union,Outside,Leased,"Jessee, James E.",036,,046.00,275,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.1692,-83.8333,Hill Top Lane 270,Union,Outside,Leased,"Gordon, Tommy",083,,015.00,270,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.2092,-83.7650,Megan Lane 280 (off Ridgecrest),Union,Outside,Leased,"Wood, Frankie J.",073,,005.01,150,lattice
"AT & T Mobility, LLC",WC000025,WC,99,36.3237,-82.3439,Tannery Knob 3,Washington,Johnson City,Leased,City of Johnson City,046L,E,022.00,,guyed
"AT & T Mobility, LLC",WC000025,WC,99,36.0618,-85.5062,Roberts-Matthews Road 7282 (Cookeville Lane 872),White,Outside,Leased,"Willaims, L A",003,,035.00,150,monopole
"AT & T Mobility, LLC",WC000025,WC,99,35.9055,-85.4470,Skyline Drive 1230 (Red Bud Trail) ,White,Outside,Leased,"Rogers, Bobby R. & Diana",059N,A,016.00,120,guyed
"AT & T Mobility, LLC",WC000025,WC,99,35.8584,-86.8606,Goose Creek Bypass 2508,Williamson,Outside,Leased,Trustees of Southern Hills Church of Christ,118,,030.00,097,lattice
"NTCH-West Tenn, Inc.",WC000597,WC,99,35.36.44,88.49.04,Church Street North 301,Madison,Jackson,OWNED,NTCH WEST ,087A,C,013.00,133,monopole
"NTCH-West Tenn, Inc.",WC000597,WC,1278793,35.618761,87.960394,"Hwy 412 W, 7667 (7993 ASR)",Perry,Outside,OWNED,NTCH WEST ,073,,010.01,180,lattice
"T-Mobile US, INC",WC000800,WC,99,35.96094444,-84.28846666,United States D. O. E.,Anderson,Oak Ridge,Leased,United States D. O. E.,106,,001.00,285,lattice
"T-Mobile US, INC",WC000800,WC,99,36.13666694,-84.01074444,Norris Freeway 4518,Anderson,Outside,Leased,"Stooksbury, Gerald E.",056,,054.00,220,lattice
"T-Mobile US, INC",WC000800,WC,99,36.04064166,-84.29355000,Smith Road 252,Anderson,Outside,Leased,"Haney, Lonzy",093,,043.04,210,lattice
"T-Mobile US, INC",WC000800,WC,99,35.649167,-84.118333,Nine Mile Road 5708 (Jim Ryan Road),Blount,Outside,Leased,"McCall, John (George)",110,,041.00,130,monopole
"T-Mobile US, INC",WC000800,WC,99,35.09466111,-84.89589444,Blue Springs Lane SE 452,Bradley,Outside-06261,Leased,"Global Signal Acquisitions IV, LLC",073,,075.10,262,lattice
"T-Mobile US, INC",WC000800,WC,99,35.23330277,-84.85473055,Frontage Road 5602,Bradley,Outside-06261,Leased,"Lawson, Ken",027,,011.03,160,monopole
"T-Mobile US, INC",WC000800,WC,99,35.26073055,-84.91420277,Georgetown Road 6740,Bradley,Outside-06261,Leased,"McClanahan, Joe",018,,017.00,250,lattice
"T-Mobile US, INC",WC000800,WC,99,35.22930833,-84.80960277,Jenkins Road 741,Bradley,Outside-06261,Leased,"Beene, Herbert etux",028,,052.00,195,monopole
"T-Mobile US, INC",WC000800,WC,99,36.28331388,-84.19992222,Dilbeck Lane 370 ,Campbell,Outside,Leased,"Dilbeck, Mack & Maude",126,,101.00,256,lattice
"T-Mobile US, INC",WC000800,WC,99,36.30348333,-87.04531666,Bearwallow Road 1008 /Fry Street 360,Cheatham,Ashland City,Leased,"Dickerson, Bobby & Ann",049,,020.00,150,monopole
"T-Mobile US, INC",WC000800,WC,99,36.28986000,-87.06601000,Skyview Drive 606 ,Cheatham,Ashland City,Leased,"Pardue, M Z , (Bathrop, Sam Trustee)",049F,C,001.00,123,monopole
"T-Mobile US, INC",WC000800,WC,99,36.08004152,-87.09138272,Luyben Hill Road 162 ,Cheatham,Kingston Springs,Leased,"Dorris, Priscilla Beard",100,,001.00,255,lattice
"T-Mobile US, INC",WC000800,WC,99,36.34465871,-87.04019800,Boyd Road 1035 ,Cheatham,Outside,Leased,"Perry, Robert",025,,026.01,156,monopole
"T-Mobile US, INC",WC000800,WC,99,36.10984166,-87.17060555,Hwy 70 3285 ,Cheatham,Outside,Leased,"Smith, Andrew",090,,001.00,150,monopole
"T-Mobile US, INC",WC000800,WC,99,36.19873222,-86.99403833,Lovell Road 8640-A / River Road,Cheatham,Outside,Leased,"Pedigo, Donnie E.",075,,008.00,180,monopole
"T-Mobile US, INC",WC000800,WC,99,36.35156000,-86.93811000,Old Ridge Road 1010 ,Cheatham,Outside,Leased,"Creative Industries, Inc.",023,,059.00,175,monopole
"T-Mobile US, INC",WC000800,WC,99,35.33961944,-85.93703333,Cotton Cunningham Road 411 ,Coffee,Outside,Leased,"Willis, John",133,,018.01,189,monopole
"T-Mobile US, INC",WC000800,WC,99,35.95311111,-84.95138888,Chestnut Hill Road 2050,Cumberland,Outside,Leased,"Keck, Anthony H.",102,,060.01,294,lattice
"T-Mobile US, INC",WC000800,WC,99,36.07913916,-85.21169472,Junior Camp Road 2392,Cumberland,Outside,Leased,"Braddam, Gertie",035,,022.00,304,lattice
"T-Mobile US, INC",WC000800,WC,99,36.30013294,-86.71051500,Alta Loma Road 590 ,Davidson,Goodlettsville,Leased,"Williams, Tommie H. & Bessie J.",034-01,0,082.00,125,monopole
"T-Mobile US, INC",WC000800,WC,99,36.13516666,-86.78961111,12th Avenue South 1817 ,Davidson,Nashville,Leased,"Walker, Ted  F. & Joan R.",105-09,0,048.00,108,monopole
"T-Mobile US, INC",WC000800,WC,99,36.14841666,-86.82369444,32nd Avenue North 200 ,Davidson,Nashville,Leased,Boyles Galvanizing Company,092-13,0,416.00,100,monopole
"T-Mobile US, INC",WC000800,WC,99,36.14458333,-86.77811111,Archer Street (704 Reid Street),Davidson,Nashville,Leased,Lewis Chirldren Trust (Reid Ave Assoc.),105-02,0,332.00,122,monopole
"T-Mobile US, INC",WC000800,WC,99,36.14190555,-86.73287500,Arlington Avenue 401 ,Davidson,Nashville,Leased,Birmingham-Nashville Express,106-07,0,001.00,129,monopole
"T-Mobile US, INC",WC000800,WC,99,36.04430833,-86.66400555,Bell Road 1124 ,Davidson,Nashville,Leased,Hickory Hollow Stor-n-loc,163-00,0,201.00,188,lattice
